election_year,borough,ward,candidate,party,votes,elected,ward_total_votes,vote_share_pct,rank_in_ward,seat_position,party_colour,winning_party,winning_margin,turnout_pct,rejected_ballots,previous_election_swing,geo_reference,electorate,seats_available,data_status,source_url
2026,Redbridge,Clayhall,Lily Jean Metcalfe Boon,Green Party Candidate,,,,,,Pending count,#02A95B,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Kalpana Bose,Labour Party,,,,,,Pending count,#E4003B,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,John Andrew Brodie,Reform UK,,,,,,Pending count,#12B6CF,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Miki Dutta,Reform UK,,,,,,Pending count,#12B6CF,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Vinil Kumar Gupta,Local Conservatives,,,,,,Pending count,#0087DC,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Richard Martin Heins,Reform UK,,,,,,Pending count,#12B6CF,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Ashburn Holder,Redbridge Independents,,,,,,Pending count,#7C3AED,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Obaidul Khan,Local Conservatives,,,,,,Pending count,#0087DC,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Kabir Mahmud,Redbridge Matters,,,,,,Pending count,#EC4899,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Karen Packer,Local Conservatives,,,,,,Pending count,#0087DC,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Kamal Hussain Qureshi,Labour Party,,,,,,Pending count,#E4003B,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Azizur Rahman,Redbridge Independents,,,,,,Pending count,#7C3AED,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Natascia Paola Servini,Liberal Democrats,,,,,,Pending count,#FAA61A,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Mohammed Abdus Shahid,Redbridge Matters,,,,,,Pending count,#EC4899,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Kathleen Patricia Teahan,Liberal Democrats,,,,,,Pending count,#FAA61A,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Jamal Uddin,Labour Party,,,,,,Pending count,#E4003B,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Joel Winston,Liberal Democrats,,,,,,Pending count,#FAA61A,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clementswood,Farjana Afroja,Redbridge Matters,,,,,,Pending count,#EC4899,,,27.0,,,,9574,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clementswood,Zain Ali,Green Party Candidate,,,,,,Pending count,#02A95B,,,27.0,,,,9574,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clementswood,Ritu Chaubey,Conservative Party,,,,,,Pending count,#0087DC,,,27.0,,,,9574,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
